Nama	Alamat	Email	website	Telp	Fax	Pengasuh
PP Al-Husna (Putra-Putri)	Malo, Kab. Bojonegoro Jawa_Timur	-	-	 	-	K. Abdul Alim
PP ALQUR'ANULKARIM AL-MURTADLO(M-AL'Q)	BUNTET PESANTREN CIREBON jawa barat 	-	  www.malqinstitute.wordpress.com	 02319152250  	-	
PP At-Taqwa (Putra-Putri)	Jln. Pesantren No.29 Desa Karang Malang Kecamatan Ketanggungan Kabupaten Brebes Propinsi Jawa Tengah (52263) Jawa_Tengah 	  ponpesattaqwa@yahoo.com	  www.ketanggungan.co.cc 	 +6228388437  	-	KH. Jumhur Abd. Qodir
PP ATTAUFIIQIYYAH (putra-putri)	BRABO TANGGUNGHARJO GROBOGAN JAWA TENGAH 	  www.attaufiqiyyah.com	-	 02470637445  	-	KH. Muhammad dlofir al hafidz
PP AULIA RACHMAN (Putra-Putri)	DESA TANJUNG AUR KECAMATAN MAJE KABUPATEN KAUR Bengkulu	-	-	 	-	KYAI ACH. YULISMAN
PP BAHRUL ULUM (putra-putri)	TAMBAKBERAS JOMBANG JL. KH WAHAB HASBULLOH JOMBANG JAWA TIMUR 	-	  www.tambakberas.com	 (0321)869955 	 (0321)869955 	KH MOH. HASIB WAHAB
PP DARUL 'ULUM JOMBANG (Putra-Putri)	Jl. Rejoso Peterongan Jombang Jawa_Timur	-	-	 	-	KH Arsyad Umar, KH Dimyathi Romli, KH Tamim Romli
PP Darul Falah (Putra-Putri)	Dk.Sidorejo RT 03 RW 12, Bangsri, Jepara 59453 Jawa_Tengah 	  darulfalah@lycos.com	-	 0291-771852  	-	KH. Taufiqul Hakim
PP Darul Falah (Putra-Putri)	Cukir Jombang Jawa_Timur 	  DF_Cukir@yahoo.co	-	 0321-864562, 867792, 870986, 8 	 '0321-864562 	KH. Maghfur Ali, KH. Mukhlis Dim, KH. Syamsuddin, KH. Moh. Amin. KH. Dahlan Syafi'i, Agus Huda Muhad
PP Darul Ma'arif (putra-putri)	Wonodadi Plantungan Kendal Jawa Tengah 	  mrcholid@gmail.com	  http://cholidceha.blogspot.com 	 02944536434  	-	Ky. Ahmad Rofi'iy
PP Darul Muhajirim (Putra-Putri)	Jl. Diponegoro 40 Praya Lombok Tengah NTB NTB 	  ppdm_praya@yahoo.com	  www.smadarulmuhajirin.com 	 0370-654060 	 0370-654060 	Drs. H. Syamsul Rijal
PP Darul Muta'alimiin	Pandanasri PO BOX 17 Kertosono kab. Nganjuk Jatim	-	-	 (0358) 551537  	-	KH. Juwayni Ghozali
PP DARUL MU`ALLAMAH (putra-putri)	JL. PASIR KUPANG RT 02/01 NAGASARI SERANG BARU BEKASI JABAR 	  SMAKMUN@GMAIL.COM	-	 (62-21) 98142000 	 (62-21) 98141999 	KH DRS. IIP SARIP BUSTOMI
PP DARUL QUDDUSUS SALAM (Putra-Putri)	JL.KH JALAL SUYUTY RT.005 RW.002 BENER TENGARAN KAB.SMG Jawa_Tengah 	  darulquddussalam@yahoo.co.id	-	 0298313314  	-	ust.agus wahib sabara Alh,ust.mujtahid al fattah Alh
PP DARUSSALAM (Putra)	JL KH WAHID HASYIM SARIPAN, JEPARA Jawa_Tengah	-	-	 	-	KH ABDULLAH SYATO AQIB
PP Durrotu Ahlissunah Waljamaah (Putra-Putri)	Jl.Kalimasada Banaran Gunung Pati Semarang Jawa_Tengah	-	-	 (024) 8508228  	-	K. Masyrokhan
PP FADLUR ROBBI (Putra)	PANGGANG PULO, KEC JEPARA KAB JEPARA Jawa_Tengah	-	-	 	-	KH SYAMSUL HUDA AL-KHAFID
PP Hidayaturrahman (Putra-Putri)	Jl. Gub. Suryo Jawa_Timur	-	-	 	-	KH. Masyfukh Hisyam
PP LANGGAR TARBIYAH (Putra-Putri)	DESA TANJUNG BETUNG 2 KECAMATAN KAUR UTARA KABUPATEN KAUR Bengkulu	-	-	 	-	KYAI  JANOEARI TASUDIN, SPDI
PP Langitan	Jl. Raya Babat  - Tuban PO BOX 02 Babat 62271 Jatim 	  langitan@plasa.com, kakilangitan@telkom.net	-	 (0322) 451156 	 (0322) 453194 	KH Abdullah Faqih
PP Ishlahussyuban (Putra-Putri)	Undaan Kidul Gang 11 Undaan Kudus Jawa_Tengah	-	-	 	-	K.H. Chumaidi
pp Ma'unah (Putra-Putri)	plaosan 3 baledono Jawa_Tengah 	  goesahil@yahoo.com	-	 0275323395  	-	kh. raden dawud masykuri
PP Madrosatul Qur'anil Aziziyyah (Putra-Putri)	Jl. Raya Beringin RT 1 RW 1 Ngaliyan Semarang 50189 Jawa_Tengah 	  ppmqa@yahoo.com	  http://ppmqa.blogspot.com 	 (024) 7621004 - 70407733  	-	KH M Sholeh Mahalli, AH
PP MAMBA'US SHOLIHIN (Putra-Putri)	DESA SUMBER KECAMATAN SANANKULON KABUPATEN BLITAR JAWA TIMUR INDONESIA Jawa_Timur 	  ululalbabsejati@yahoo.co.id	-	 	-	KH. MISBAHUDIN, ZAINUL FAJRI
PP MARHALAH WUSTHO LANGGAR TARBIYAH (Putra-Putri)	PADANG KEMPAS SUKARAJA BINTUHAN Bengkulu	-	-	 	-	KH.ACH.SIDARMIN T, MPD
PP Maslakhul Anwar (putra-putri)	Pesantren 6/3 Bangunsari Pageruyung Kendal Jawa Tengah 	  mrcholid@gmail.com	  cholidceha.blogspot.com 	 081578702406  	-	KH. Zaenal Arifin AM
PP MIFTAHUL HUDA AL AZHAR (skitar 850)	KUJANGSARI. LANGGENSARI KOTA BANJAR Jawa Barat	-	-	 02652730533  	-	KH .MUNAWIR. AR
PP MIFTAHUL ULUM DANGUK (putra-putri)	DANGUK, BEGAL, KEDUNGGALAR, NGAWI JATIM 	  muhajirinahmad@yahoo.com	-	 	-	Bpk.K.QOMARUDDIN
PP MIFTAHUS SA'ADAH (200)	Jln. Wirosari Km. 4 Tambakselo Kec. Wirosari Kab. Grobogan Jawa Tengah 	  miftahussaadah14@roketmail.com	-	 081390481759  	-	K. Moh Nur Cholis M, BSA, S.PdI
PP MIRQOT ILMIYAH AL-ITQON JAKARTA BARAT	Jl. H. Selong Rt.005/03 No.14 Duri Kosambi Cengkareng Jakarta Barat 11750 DKI_Jakarta	-	-	 0215453788  	-	
PP Modern Darussalam Kuliyatul Ulum Al Islamiyah (Putra-Putri)	Jl Irian Kec Kasomalang Kab Subang Jawa Barat Jawa_Barat 	  anan_nurdin@yahoo.com	-	 0260481447 	0260481447	KH Ahmad Djuanda MH, KH Aom Jembar MA
PP Modern Muhammadiyah Boarding School (putra-putri)	Marangan, Bokoharjo, Prambanan, Sleman, Yogyakarta D.I.Yogyakarta 	  mbs_yogya@yahoo.com	  www.muhammadiyahboarding.sch.id 	 0274 7113757  	-	KH. Nashirul Ahsan, Lc
pp nurul anwar (Putra-Putri)	jl durian komba sentani jayapura Irian_Jaya 	  pontrennurulanwar@yahoo.co.id	-	 0967591647  	-	mansur alkaf
PP Nurul Haromain	Taruban Kulon, Tuksono, Sentolo, Kulon Progo, Yogyakarta 55664 DI_Yogyakarta 	  Ponpes_khs@yahoo.com	-	 +628156873086  	-	KH Sirodjan Muniro Abdul Rahman
PP NURUL HUDA (putra-putri)	Jl. Jombang Blaru Kec. Badas Kab. Kediri Jawa Timur 	  -	  - 	 085232075217 	 - 	KH. Isman Sya'roni
PP Pacul Gowang (Putra-Putri)	tromol pos 3 cukir diwek jombang Jawa_Timur	-	-	 0321  	-	kh. m abdul azis mansyur
PP Putri Hidayatul Mubtadi-aat (Putri)	Lirboyo Kota Kediri Jawa_Timur 	  umam_idha@yahoo.co.id	-	 0354772197 	0354772197	KH.M.Anwar Manshur
PP Qomarul Hidayah	Jln. Trenggalek - Ponorogo KM 7 Gondang Selatan Gondang Tugu Trenggalek Jatim Jatim 	  qomarul _hidayah@hotmail.com	-	 (0355) 792631  	-	KH. Kholil Madjid
PP Salafiyah Syafi'iyah Nurul Huda (Putra-Putri)	Jl. Kol. Sugiono 3B 103 Mergosono Malang Jawa_Timur	-	-	 (0341) 369187  	-	KH. Ahmad Masduqi Mahfudz
PP Syekh Abdul Qodir Al-Jailani (Putra-Putri)	Rangkang, Kraksaan, Probolinggo Jawa_Timur	-	-	 	-	KH Abd. Khafidz Aminuddin
PP Tahafudzul Qur'an Al-Madinah (Putra-Putri)	Jln Medoho Raya Sambirejo Gayamsari Semarang (50166) Jawa_Tengah	-	-	 	-	KH Abdul Muhaimin Ah.
PP Ulul Albab (Mahasiswa)	JL. panglegur Pamekasan Madura Jawa_Timur 	  ppululalbab@yahoo.com	-	 085931268682  	-	Drs. Zainul Hasan M.Ag
PP.  WAHID HASYIM (putra-putri)	JL. KH. WAHID HASYIM GATEN CC DEPOK SLEMAN DI YOGYAKARTA	-	-	 	-	KH. JALAL SUYUTHI
PP. NURUL FATTAH SMA ISLAM JEPARA (putra)	Jl. Ratu Kalinyamat No. 1 Jepara 59421 (Desa Krapyak Kec. Tahunan Kab. Jepara) Jawa Tengah 	  audin19@gmail.com	-	 0291-59421 / 081225039930  	-	Ustadz Amirudin, SHI
PP. AL AFIF (Putra-Putri)	Jl. Sukomoro-Pace Km.1; Kapas Sukomoro Nganjuk Jawa_Timur	-	-	 330008  	-	KH. ZAINUDDIN
PP. AL LUQMANIYYAH	jl. Babaran, Kel. Kalangan, Kec. Umbul Harjo, Jogjakarta, 55161 DI_Yogyakarta	-	-	 tlp.(0274)377838  	-	KH. Najib Salimy
PP. AL MUSTAQIM (putra-putri)	Jl. Pasar Lama, Bugel Kedung Jepara 59463 Jawa Tengah 	  cometbugel@yahoo.co.id	-	 02913335355 	291755819	KH. MUHSIN ALI
PP. Al Ridlo (Putra)	RT.03 RW.01 Potroyudan Jepara Jawa_Tengah 	  alridlo@yahoo.co.id	  - 	 - 	 - 	KH. Jamal Ulya
PP. Al-Basyariyah	Kampus II Cigondewah Hilir Margaasih Kab. Bandung Jawa_Barat 	  puskomalba@gmail.com	  al-basyariyah.or.id 	 (022) 5415424  	-	KH. Saiful Azhar (Buya)
PP. AL-IKHWAN HAJJAH DJUHAENAH (Putra-Putri)	Jl. KH. KHOER AFFANDI NO.13 Simpangcondong Kel.Setianegara Kec. Cibeureum Kota Tasikmalaya 46196 Jawa_Barat	-	-	 0265 326364  	-	Dr.KH. MUHSIN AN SYADILIE, M.Si
PP. Al-Istiqomah Cibatu (putra-putri)	Cibatu Rt 01 Rw 01 Tanjungsiang Subang Jawa Barat 	  cibatupst@gmail.com	-	 0260480362 	0260480362	K.H. Duding Abdul Mu'ti
PP. Al-Mas'udiyah	Jl. Cigondewah Hilir No. 42 Margaasih Bandung Jawa Barat	-	-	 (022) 6674115  	-	
PP. Al-muayyad MAngkuyudan	Jl. K.H. Samanhudi Mangkuyudan Surakarta Jawa_Tengah	-	-	 	-	Bpk. KH. Abdul Rozaq Shofawi
PP. Al-Mujahidin (Putra-Putri)	Jl. Dr Tjipto Mangunkusumo No. 50 Kauman, Ambarawa Jawa_Tengah	-	-	 (0298) 593-722  	-	K. Hasyim Hadi, K. Abdul Qodir Al-Hafidz, Ny. Ummi Maesaroh Al-Hafidhoh
PP. Al-Munawwir (Putra-Putri)	Komplek Q Krapyak Yogyakarta DI_Yogyakarta	-	-	 (0274)387374  	-	K.H. Warson Munawwir
PP. Alfurqon	Jl. Batas Desa Iser-Kalirandu, Kec. Petarukan Kab. Pemalang Jawa_Tengah	-	-	 	-	K.H. Drs. Zuhri Ali
PP. Almuhammad (Putra-Putri)	Jl. Blora No. 151 Cepu Jawa_Tengah	-	-	 	-	
PP. An Nawawi Assalafy (putra-putri)	kutorejo, Bagor, Nganjuk, JATIM Jawa timur 	  annawawi@yahoo.co.id	-	 03587669778  	-	KH. Imam syafi'i Nawawi
PP. Anwar Futuhiyyah (putra-putri)	Blotan Wedomartani Ngemplak Sleman DI Yogyakarta	-	-	 (0274) 889763  	-	Bpk. K. Muhammad Labib
PP. Arrahmaniyah (Putra-Putri)	Jl. Masjis Al-Ittihad No. 8 Bj. Pondok Terong Pan-Mas Kota Depok Jawa_Barat 	  arrahmaniyah@gmail.com	-	 021-7763660 	 021-77213007 	KH. Abdussomad Rahman Fadil, KH. Abuddin Shomad, S.Pdi, Kiai. Ahmad Purqon, S.Ip, M.Si
PP. Asnawiyyah (Putra-Putri)	Jl. Kauman 23 Pilangwetan Kebonagung Demak 59573 Jawa_Tengah 	  asna_cyber@yahoo.co.id	  - 	 0292 7703226 	 - 	K.H.M. Muchozin
PP. Assalafi (Putra-Putri)	Jalan Gondang Manis, Babakan, Ciwaringin, Cirebon Jawa_Barat	-	-	 	-	KH.Azka Hamam Syaerozi,LC.  KH Yasef Maemun
PP. Assalafi (Putra-Putri)	Jalan Gondang Manis, Babakan, Ciwaringin, Cirebon Jawa_Barat	-	-	 	-	KH.Azka Hamam Syaerozi,LC.  KH Yasef Maemun
PP. Assalafiyah Raudhatuttholibin (putra-putri)	Cisetu RT 03/03 Rajagaluh Majalengka 45472 Jawa Barat 	  achmadkhotib@yahoo.com	-	 (0233) 510635/081222060200  	-	KH. Sirojudin Abbas
PP. Assalafy	Kempek Palimanan Cirebon 45161, Jabar	-	-	 0231- 341710  	-	1. KH. Nawawi Umar
PP. Attaujieh el-Islamy (Putra-Putri)	Leler Randegan Kebasen Banyumas Jateng, Po.Box 170 Purwokerto 53101 Jateng Jateng	-	-	 	-	KH. Atho'urrohman Hisyam
PP. Baitul Mustaqim (Putra-Putri)	Jln. Pesantren Sidorahayu Sidomulyo Punggur Lampung Tengah 34152 Lampung 	  pp.baitul.mustaqim@gmail.com	-	 0725-7001726  	-	KH. Muchtar Ghozali, K. Nurhadi & K. Muh. Sya'roni
PP. Bustanul Huffadz ASSAIDIYAH (MBAH MANGLI, KH AHMAD FAYUMI pp darussalam jl mt haryono kodya pasuruan, KH HIFNI pp nurul jadid paiton probolinggo, Ust HASAN BASRI juara 3 hifdzil qur'an di iran DLL.)	Jl. KH. HASYIM ASY'ARI no 42 RT. 01 RW. 01 SAMPANG kode pos: 69212 MADURA. Jawa timur	-	-	 0323-324687/321233  	-	KH. MANSUR BIN MUHAMMAD SAID ALHAFIDZ ALMANDURAH
PP. Bustanul Huffadz ASSAIDIYAH (MBAH MANGLI, KH AHMAD FAYUMI pp darussalam jl mt haryono kodya pasuruan, KH HIFNI pp nurul jadid paiton probolinggo, Ust HASAN BASRI juara 3 hifdzil qur'an di iran DLL.)	Jl. KH. HASYIM ASY'ARI no 42 RT. 01 RW. 01 SAMPANG kode pos: 69212 MADURA. Jawa timur	-	-	 0323-324687/321233  	-	KH. MANSUR BIN MUHAMMAD SAID ALHAFIDZ ALMANDURAH
PP. Bustanut Tholibin (Putra-Putri)	Krajan Rt 03/02 Tegaron Jawa_Tengah 	  w.waterblue@yahoo.co.id	-	 	-	Bahruddin Latief
PP. Darul 'Ulum (Putra - Putri)	Jl. Kampus Ma'arif NU 5 Sumbergede 56 A Kec. Sekampung Kab. Lampung Timur 34182 Lampung 	  pp.darululum@yahoo.co.id	  http://ppduonline.blogspot.com 	 0725 - 49105 ; HP : 0856 5885 1378  	-	Drs. K.H. Ahmad Mudjab Kh., M.Pd.I
PP. Darul Falah (Putra-Putri)	Jl. Raya Cihampelas No. 45 Kab. Bandung Barat Jawa_Barat 	  staidaf@yahoo.co.id	  www.darulfalah.ac.id 	 08172373935 	226864190	KH. Asep Burhanuddin
PP. Darul Huffadh (putra-putri)	Tuju-Tuju, Kajuara, kabupaten Bone sulawesi selatan 	-	  www.darulhuffadh.com	 0482-2426591,2426594 	 0482-2426591 	Ust.Saad Said Sag.
PP. DARUL MUTA'ALIM (Putra-Putri)	JL.Wukir Gg.X Temas - Batu Jawa_Timur	-	-	 0341-595452  	-	K.ABDULLOH THOHIR, KH.ABDUL QADIR, K.IMAM SYAFI'I
PP. Darul Muttaqien (Putra-Putri)	Ds. Sidanegara. Kec Kedungreja. Kab Cilacap 53263 Luar_Negeri	-	-	 085726464620  	-	KH. Ibrahim Mukti Sudasi
PP. Darul Qur'an Wal Irsyad (Putra-Putri)	Jl. Nusantara, Ledoksari, Wonosari, Gunungkidul, Yogyakarta DI_Yogyakarta	-	-	 (0274) 7809503  	-	KH. Drs. Ahmad Haris Masduki,MSI
PP. Darun Najah (Putra-Putri)	Komplek Masjid Baiturrahman, Kepatihan Jekulo Kudus Jawa_Tengah	-	-	 	-	Edy Bahtiar M.Ag
PP. Darussalam TegalRejo (Putra-Putri)	Tanggulangin Kejayan Pasuruan Jawa_Timur	-	-	 0343 7726167  	-	KH. Sholahuddin Umar
PP. El-Bayan (Putra-Putri) (Putra-Putri)	Bendasari- Majenang - Cilacap Jawa_Tengah	-	-	 (0280) 623302  	-	KH. Imam Subky Najmuddin
PP. Hadil Iman ( Madrasah Aliyah Program Khusus ) (Putra-Putri)	Jl. Sumpah Pemuda No.25 Surakarta Jawa_Tengah 	-	  www.mansurakarta.com	 0271-852066 , 0271 854511 	 0271-852066 	Drs. Agus Hadi Susanto
PP. Hasan Jufri (Putra-Putri)	Kebunagung Lebak Sangkapura Bawean Gresik Jawa_Timur 	  pp_hasanjufri@yahoo.com	-	 0325421738 	0325421738	KH. Bajuri Yusuf, Liss, KH. Abdullah Mufid Hilmi
PP. Mamba'ul Hikmah (putra-putri)	Kalikatir Selogiri Wonogiri Jawa Tengah	-	-	 0273-  	-	KH. Abdul Aziz Mahfudh
PP. Manbaul Anwar (Putra-Putri)	Krasak Mojotengah Wonosobo Jawa_Tengah 	  sonip_abdullah@yahoo.com	-	 0286  	-	KH. AMin Ridlo
PP. Miftahul Falah (putra|-|)	Kp. Kalisusukan-Karangbayan, Bintoro, DEMAK JawaTengah	-	-	 081390647016  	-	Ust. Harun Ni'am
PP. Nurul Aziz (Putra-Putri)	Sarang Meduro 07 Sarang Rembang Jawa Tengah 	  kangamin thohari09@yahoo.com	-	 081390898827  	-	K. Amin Thohari/Ny. Marchamah
PP. Nurul Iman (100)	Kp. Cibangban RR,  RT 02/03,  Kel. Karangmulya,  Kec. Karangpawitan, Garut 44182 Hp. 085220020027 Jawa Barat 	  saepul_garut@yahoo.co.id	-	 085220020027  	-	Muh. Sholeh
PP. Nurul Ummah (Putri)	KG II/982, RT/RW 27/06 Prenggan Kotagede Yogyakarta 55172 DI_Yogyakarta	-	-	 (0274) 7481641  	-	Nyai Barakah Asyhary
pp. nurul ummah (Putra)	jl. ronggo kg II/ 982 Prenggan Kotagede Yogyakarta DI_Yogyakarta 	-	  www.nurulummah.com	 0274-374469 	 0274-374469 	KH. Muslim Nawawi
PP. Nurussalam Al-Munwwir (Putra-Putri)	Jalan K.H. Alimaksum 381 Krapyak Yogyakarta 55188 DI_Yogyakarta	-	-	 0274-371877  	-	K.H. Dalhar Munawwir dan K.H. Fairuzi Afiq Al-Hafidz
PP. PANCASILA (Putra)	Kelurahan Mata Air Kecamatan Reok Kabupaten Manggarai NTT	-	-	 0385-61289 	 0385-61289 	Ustadz Drs.HUSEN ANWAR
PP. PPAI AN NAHDLIYAH (Putra-Putri)	JL. Raya Kepuharjo 18A Karangploso Malang Jawa_Timur	-	-	 0341 465030  	-	Drs. Moh. Mansjur, SH
PP. Raudlatut Thalabah (Putra-Putri)	JL. JEMBER SETAIL GENTENG-BWI Jawa_Timur	-	-	 0333 846382  	-	KH. AGUS MASRUCHIN BADRI
PP. ROUDHOTUL MUTA'ALLIM (Putra-Putri)	Jl. Raya Sugihwaras 264 Sugihwaras Bojonegoro Jawa_Timur 	  walisongo@telkom.net	-	 (0353)391030  	-	KH. M. Taufiq Munir
PP. Roudhotul Ussyaqil Qur'an (RUQ) (Putra-Putri)	Tuntang, Salatiga, Jawa - Tengah (50773) Jawa_Tengah	-	-	 Telp. (0298) 312-765  	-	K.H. Ma'sum Jazuli  Al- Hafidz, K.H. Masduq Hariri Al-Hafidz,
PP. Sabiilunnajah (Putra-Putri)	Jl. Kyai Legi, Sumbermulyo, Kepek, Wonosari, Gunungkidul DI_Yogyakarta	-	-	 	-	KH. Ismail Masyhuri
PP. Salafiyah (Putra-Putri)	Jl. Kauman no 17 Pemalang Jawa_Tengah	-	-	 321555  	-	KH. Romadlon SZ
PP. Salafiyah Darussalamah (1500)	Braja Dewa, Way Jepara, Lampung Timur Lampung	-	-	 	-	KH. Ahmad Shodiq
PP. Sumber Bunga (Putra-Putri)	Seletreng Kapongan Situbondo Jawa_Timur	-	-	 0338-671035  	-	KH. IMAM QUSYAIRI SYAM
PP. SUMBER MAS (putra-putri)	JL.KH.A.Zamzam Kebunan Rombiya Barat Ganding Sumenep Madura 69462 Jawa Timur 	  amuftikhazin@yahoo.com	  - 	 081801348773, 081801348377 	 - 	KH.A. Khazin Sanusi dan KH.A. Badwi Sanusi
PP. Syaikhona Yahya (Putra-Putri)	Jl. Syaikhonz Yahya Karanganyar Banyuajuh Kamal Bangkalan Jawa_Timur	-	-	 	-	KH. Faroid
PP. Syaroful Ummah (putra)	Tegalmulyo, Kepek, Wonosari, Gunungkidul, DI Yogyakarta D.I. Yogyakarta	-	-	 	-	MUHAMMAD YUSUF AL BANTULY
PP. SYAROFUL UMMAH (putra)	TEGALMULYO, KEPEK, WONOSARI, GUNUNGKIDUL D.I.YOGYAKARTA 	  awi.akhi.@yahoo.com	-	 02746576298  	-	MUHAMMAD YUSUF AL BANTULY
PP. Tahfidzul Qur'an Roudhotul Qur'an (Putra : 16 putri : 9)	Cibarusah Cikarang Jawa Barat	-	-	 021-89952928  	-	H. Muhammad Nadhif, Al-Hafidz
PP. Tanjung Rejo (584 orang)	Jl. Tanjung Rejo No. 03 Mangaran Situbondo 68363 Jawa Timur 	  tanjungrejo@yahoo.co.id	  - 	 0338671186 	 - 	KHR. Abdullah Faqih Ghufron
PP. Ulil Albab	Brumbungan Lor-Gending-Probolinggo,  Jatim. Jatim	-	-	 0335-841500  	-	KH. M. Ramly Syahir, Lc.M.Si.
PP. Ummul Quro Al-Islami (Putra-Putri)	Banyusuci leuwimekar Leuwiliang Bogor Jawa_Barat 	  ppuqi@pesantren-uqi.com	  http://www.pesantren-uqi.com 	 0251-8644986 	 0251-8644985 	KH. Helmy Abd. Mubin, Lc
pp. Wahid Hasyim Yogyakarta	jl. KH. Wahid Hasyim DI_Yogyakarta	-	-	 0274 484284  	-	
PP.Al-Hikamussalafiyyah	Jl. Sukamantri 85 Tanjungkerta Sumedang Jabar 45354 Jabar	-	-	 0261-207282,208350,208500  	-	K.H. Mohammad Aliyuddin
PP.AL-ISHLAH (Putra-Putri)	Ds.Soditan Timur, Kec.Lasem, Kab.Rembang Jawa_Tengah 	  antook_a1984@yahoo.com	-	 0295531257 	0295531257	Assysyekh KH.Hakim Mashduqi
PP.Diniyah Puteri (putri)	JL. KH.Ahmad Dahlan, No. 100 Kel.Kampung Melayu  Kec. Sukajadi Pekanbaru Riau 	  pontrendepe@Yahoo.co.id	  - 	 36741 (0761) / 081378756206 	 - 	al-Ustadz Miftah Ulya, S.Th.I, MA
PP.Hidayaturrahman	Jalan raya Sukra 11- 12, Kec. Sukra, Kab. Indramayu. Jabar. 45257 Jabar 	  hidayaturrahman_yahida@yahoo.com	-	 0234 610422  	-	Haji.Amin Maulana
PP.KEBON JAMBU AL-Islamy (550)	Jl.kebon jambu no.o1 babakan ciwaringin cirebon Jawa Barat 	  ahmadsyukron36@yahoo.com	-	 	-	K.Asror Muhammad
PP.KH. Muhammad Zuhdi (Putra-Putri)	Widang Tuban Jawa_Timur	-	-	 0321 451402  	-	KH. Ahmad Wahib
PP.Nasyrul Ulum (Putra-Putri)	Bagandan Pamekasan Madura Jawa_Timur 	  idham@plassa.com	  www.nasyrul_ulum.com 	 0324-323038 	 0324-323039 	Drs.H.Idris Abd.Hamid Mannan
PP.Nurul Qur'an (Putra-Putri)	Jl. KH Zaini Mun'im, Karanganyar Paiton Probolinggo Jawa_Timur	-	-	 	-	KH Musayyib Nahrawi
PP.Putra Putri Roudlotul Chuffadh Wal Qurro (Putra-Putri)	Gempol Jatirogo Bonang Demak Jawa_Tengah 	  athurkusuma@yahoo.co.id	-	 08282954732  	-	KH. MASYKURI HA
PP.Ngangkruk (Putra-Putri)	Ngangkruk Bandungsari Ngaringan Grobogan Jawa_Tengah	-	-	 	-	K.H Abdul Wahid Zuhdi
pp.Ridlwanullah NW(TG.Drs.H.Ma'ad Umar Nur,M.Pd) (700 orang)	Jln Sandubaya n0 81 Pringgabaya Lotim NTB	-	-	 081915973330  	-	TGH.M.Anwar,SH
PP.ROUDLOTUL ULUM (putra-putri)	Jl. Raya Bengkulu - Tais KM.21 Desa Jenggalu Kec. Sukaraja Kab. Seluma Bengkulu 	  elfairuz_inascout@yahoo.co.id	-	 	-	KH.Mohammad Fairuzzabady,MA
PP.Salafiyah Asyarichin (Putra-Putri)	Jln.Kramat Raya 203 Tajinan - Malang Jawa_Timur	-	-	 0341 754003  	-	Gus Ahmad Fathoni (Gus Fat)
PP.SUNAN AMPEL	KEBONAN-GUMUKMAS-JEMBER Jatim	-	-	 0336-322967  	-	DRS.H.IDRIS SHALEH
PP.SUNAN PANDANARAN (Putra-Putri)	Jln.Kali Urang km 12,5 sleman,yogyakarta DI_Yogyakarta 	  cahya_elfudzoh@yahoo.co.id	  www.pandanaran.net 	 0274 7496585  	-	KH.Mu'tasyim Billah SQ.Mpd.i
PPAI An-Nahdliyah (Putra-Putri)	Jln. Raya Kepuharjo 18 A Karangploso Malang 65152 Jawa_Timur 	  Islamic_Salafi@yahoo.com	-	 0341-465030  	-	KH. Moh. Mansyur
PPAI DARUN NAJAH	Jln. Pesantren no. 51 Ngijo Karangploso Malang 65152 Jatim Jatim 	  ppai_darunnajah@hotmail.com	-	 (0341) 461657, 464095  	-	KH. Achmad Muchtar Ghazali
PPAI Darun Najah (Putra-Putri)	NGijo Karangploso Malang Jawa_Timur 	  -	  - 	 0341 464095 	 - 	KH. Achmad Muchtar Ghozali
pphm (Putra-Putri)	ngunut tulungagung Jawa_Timur	-	-	 0355 396335  	-	
PPKBM-SELAMAT (Pesantren Pusat Kegiatan Belajar Masyarakat-Sekolah Alam dan Kemanusiaan Terbuka) (putra-putri)	PERUM DEPKES BLOK C, KRAMAT UTARA, MAGELANG UTARA, KOTA MAGELANG JAWA TENGAH 	  rosyid_selamat@yahoo.co.id	-	 O85868341000  	-	ABDURROSYID ACHMAD, M.Hum.
PPKP Ribathul Khail (Putra-Putri)	Jl KH Achmad Muksin Timbau Tenggarong, Kabupaten Kutai Kartanegara Kalimantan_Timur	-	-	 	-	KH Abdul Ghoni
PPM Nurul Ikhlas (Putra-Putri)	Jl. Raya Padang Panjang - Bukittinggi KM 3 Sumatera_Barat 	  webmaster@nurulikhlas.sch.id	  nurulikhlas.sch.id 	 +62-752-83535 	 +62-752-84469 	H. Riza Muhammad Yunas Shaleh, LC
PPM Rahmatul Asri (Putra-Putri)	Jl. Poros Enrekang Km. 1 Maroangin Kec. Maiwa Kab. Enrekang Sulawesi_Selatan 	  selatan_ku@yahoo.com	-	 042125881  	-	MUH. ILHAM YAMIN, S.Ag
PPMH 02 (Putra-Putri)	JATISARI SENORI TUBAN Jawa_Timur 	  mansyaul_huda01@plasa.com	-	 0356 531966  	-	KH.muhammad muhyiddin
PPQ AL-AMIN (putra|-|)	Pabuaran purwokerto utara Jateng 	  A	  Www.gugahbentangi.wordpress.com 	 0282625452 	0	
PPS NURUL HUDA SINDANGSALAM	Kp. Sindangsalam Ds.Sirnajaya Kec. Gununghalu Kab. Bandung Barat Jawa Barat	-	-	 (022) 6950577  	-	KH. Asep Anwar Mubarok
PPTQ (Pondok Pesantren Tahsinul Qur'an)	Pagesangan 2H/1, Surabaya Jawa Timur	-	-	 031-8286967  	-	KH. Abd Hamid Abdulloh, MSi
